GEOID,visits,prep,prep_idx,prep_w,device,max_wind,count_wind_21_33,max_rain,experienced_wind_33,experienced_rain_150,count_rain_70_150,max_rain,FIPS,PropertyDmgPerCapita,coastal_flag,coastal_flag_county,ida_ge_33
221090012021,48,p,1,0,154.0,34.2873689216262,2,105.60942840576172,2,1,3,105.60942840576172,22109,0.7674244,1,1,1
221090012023,52,p,1,0,122.0,33.8387688007255,3,141.5,2,1,3,141.5,22109,0.7674244,1,1,1
221030413003,25,p,1,0,110.0,29.4802922866134,5,103.3000030517578,1,1,3,103.3000030517578,22103,0.05873937,1,1,0
221030407011,141,p,1,0,356.0,29.6474289168828,4,100.25,1,1,3,100.25,22103,0.05873937,0,1,0
221030411011,118,p,1,0,270.0,30.2558281312235,4,138.0,1,1,5,138.0,22103,0.05873937,1,1,0
220950701001,4,p,1,0,77.0,31.7255041299701,4,153.0,1,2,1,153.0,22095,0.2488945099999999,1,1,1
220950705002,32,p,1,0,59.0,32.323492371079,4,144.0932959142486,1,1,3,144.0932959142486,22095,0.2488945099999999,1,1,1
220950705001,8,p,1,0,81.0,32.766933104491,4,143.3000030517578,1,1,3,143.3000030517578,22095,0.2488945099999999,1,1,1
221090002012,32,p,1,0,76.0,44.6756651930432,3,137.3000030517578,2,1,2,137.3000030517578,22109,0.7674244,1,1,1
220710017223,4,p,1,0,43.0,31.6832756652837,5,92.00399350059106,1,1,3,92.00399350059106,22071,0.06577263,1,1,0
221090002013,56,p,1,0,96.0,34.2127648982689,4,151.1504395414706,2,2,1,151.1504395414706,22109,0.7674244,1,1,1
221090002021,177,p,1,0,290.0,34.3088472574601,4,157.39003375011268,2,2,1,157.39003375011268,22109,0.7674244,1,1,1
221090002022,93,p,1,0,148.0,34.2674708284783,4,156.22012408740224,2,2,1,156.22012408740224,22109,0.7674244,1,1,1
221090002023,113,p,1,0,194.0,34.385210282025,4,155.70001220703125,2,2,1,155.70001220703125,22109,0.7674244,1,1,1
220710033022,20,p,1,0,45.0,30.0344194801594,5,111.98193296188036,1,1,3,111.98193296188036,22071,0.06577263,1,1,1
220710017232,4,p,1,0,45.0,32.4535571718037,5,89.73433360245131,1,1,4,89.73433360245131,22071,0.06577263,1,1,0
220710033021,4,p,1,0,37.0,30.05223487589,5,112.50235585221118,1,1,3,112.50235585221118,22071,0.06577263,1,1,1
220710033031,4,p,1,0,32.0,30.0861696862533,5,110.15362463252448,1,1,4,110.15362463252448,22071,0.06577263,1,1,1
220710033032,8,p,1,0,23.0,30.070963099109,5,110.92363874536728,1,1,4,110.92363874536728,22071,0.06577263,1,1,1
220710138002,8,p,1,0,33.0,30.0394900815763,5,107.3322242385631,1,1,4,107.3322242385631,22071,0.06577263,1,1,1
220710033072,4,p,1,0,17.0,30.0634950705541,5,106.3049674718065,1,1,5,106.3049674718065,22071,0.06577263,1,1,1
